,ROWID,TWEETS
0,1,"Not only this song, this is the color of Modi's heart, he was seen in the whole world one day, only Turkmenistan. Hee hee .. Great Modi"
1,2,Love u sir love u soo much urs I'ts beautyful vedio ..
2,3,Hey Sur ji first defeat the children of our India.
3,4,that! The sound of the song is as beautiful and the melodious voice.
4,5,Greetings went to the beautiful little girls.
5,6,They lata mangekar
6,7,"Purity of soul and mind is reflected in this daughter's voice, happy daughter."
7,8,Jai Hind Jai Hindmeri Bhatan Tuje Salamodi ji salute you
8,9,I wish Modiji would have come first from Manmohan Singh ... Today 2015 our country would have reached
9,10,"Atrocities on students in India is not a result, and here it is dust in their eyes."
10,11,:OOO
11,12,"Not only this song, this is the color of Modi's heart, he will one day show it all over the world, it is only Turkmenistan. Hee hee .. Great Modi ji .. Great"
12,13,Modiji is the issue of the world .. has done enough and has to do even further ..
13,14,"Bah Guruji, what style is your world left behind."
14,15,Avsome..It says to leave the impression of India all over the world ..
15,16,Hello Maha Modi Ji !!
16,17,"Modi ji, you have to pay my last respects, you have won the glory of your India in the whole Universe .."
17,18,"Good Modi, you will take me with you"
18,19,"fantabulous .. we proud of you Modi Ji..Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h .. India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h..asha h ki jald hi unme bhi sudhar ayega."
19,20,That country has now gone into the right hands: it looks the same on seeing you
20,21,It's not Hindi because of its Urdu and Bollywood if you succeed because of Urdu
21,22,"Narendra Modi, what are you doing on Facebook, work please!"
22,23,I wish this was so good Bangladesh and Pakistan B Gate
23,24,wah wah Turkes
24,25,Masha Allah Good .. this is my Hindi
25,26,"Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ??"
26,27,I get angry on those Hindus who oppose Modi ji in their senselessness ..
27,28,No one can stop India from becoming world guru .. Vande Mataram
28,29,"Sir, only you can do this. Great sir"
29,30,Modi jigood preiminister hia
30,31,Jai sri ram nama namo
31,32,People's faith should not be reduced Jai Hind
32,33,"Modi ji go ahead, the whole country is with you."
33,34,It was heard about Raj Kapoor's films that he is liked in sports. He seems to be still intact.
34,35,They are proud of us; Now it seemed that our country has started on a good path from where we can bury our flag in the whole world.
35,36,"Modi ji, your thinking seems very right, the reason for not being progress is the reason for this that the development of the country is most important."
36,37,"bhrat ko no.1 banne me ab jyada samy nahi lagega ,, kyo ki modi ji jaisa pm bade bhagya se milte hai ,, jo bharat ki rftar ko bdane me koi kasar nahi chodege ,, jai hind ,,"
37,38,"Children's hearts should be taken on the path of truth, this song should be made mandatory in schools as Vandana."
38,39,KARTIKEY KUMAR modi hi des ko agÅ bada sakate hai
39,40,Hahaha old man is taking care of children
40,41,This has not happened nor will it ever happen. .
41,42,No hindu no muslim we are all Hindustani
42,43,"Modi is my job to kill you, I am a Khalistani"
43,44,"Modiji, my request is not to give your WhatsApp so that I can see you live."
44,45,Modiji ap apne desh ka tirnga sari duni me lahraya hum sabko Garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind
45,46,We have won Bihar and won the election of Ooop. Now we have won from seven seven and we have to win with 65 seven.
46,47,If you are like this then Modi ji Hind Jai Vrat
47,48,Bead Biswas to be less loud ..
48,49,Nothing beats seeing Modi this way
49,50,Modi ji is the only person who has the courage and passion to take the country forward.
50,51,"I am the great son of India, every Modi"
51,52,"Modi ji is ahead, you need"
52,53,"Jai Ho Bharat Mata and our culture, which foreigners also adopt"
53,54,Modi sir app should be the first president. Do something for people. No one will do anything later
54,55,Everyone's master is one.
55,56,Modi Sab Pranam App bahut Achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai
56,57,Modi ji is very sick by treating Kuta
57,58,Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.
58,59,Jai hind modi sir
59,60,"You are spoiling the money of your country..You have not seen your country roaming..You can walk around the country .. No work will be done by you, Modi."
60,61,Enough walking. Now the water is going above the head.
61,62,Jai Hind Mera Bharat Mera Hindustan
62,63,World Best Pt. Narendra Modi Ji Meera India
63,64,"The whole country is with you, Mr. Modi."
64,65,"Sir, you are great, you will only visit Bidesh or take care of the children of the country, how proud we are, people"
65,66,Pt's honor..My honor..Jay Hind
66,67,Jai Jai Ho India
67,68,What's the matter
68,69,Nice back Modi
69,70,"Come soon and do nothing on Vyapam, not far beyond 45"
70,71,Salute u sir app praises a lot
71,72,Congrats modi jee
72,73,"Modi ji, do your work, do not listen to anyone's talk, even if two out of 5 children get spoiled, you have to raise them"
73,74,Sir hum sab digital india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.
74,75,That Modi all
75,76,grt step 4grt relation..nic job sir
76,77,You will not do anything for India
77,78,Add your friends
78,79,Modi ji's name will remain as long as the sun is moon
79,80,Unstoppable modi sir
80,81,"Do not keep moving too much, help us, think about us when we ask for help"
81,82,"Modiji, take care of your country, only to become a point of loss"
82,83,"Modi ji is such a level that he will surely change the star of India, what do you say my brothers and sisters"
83,84,Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai..Khusi hogi jab aapka updates hindi me
84,85,Jai Hind Kas. Chauhan Bhinmal Jalore
85,86,Des will be developed only by bringing the world's technology
86,87,"Mr. Parnam, I want to do something for some country too, just want a little bit of your support, if I get it then my country will be easy and very happy."
87,88,Not enough time
88,89,"Sir, you have forgotten India and you are wandering on the holiday in the village money, you do not see it in India."
89,90,Hello Modi Dist
90,91,Jaihind of the country
91,92,There is a larger follower than a devotee.
92,93,Modi ji should always name our India. Jai Bharat Mata Jai ​​Hind ..
93,94,Named after Sir Jay Gurudhev
94,95,"We are having fun, we have been having fun ever since India was made a great man in the world .. Best in the world .. Only one .."
95,96,Modi Ji. Call me to your app. 009655218960
96,97,Is desh ko jarurat h guidelines ki Varna itani jayada aabadi ka desh world no.1 nahi ho sakta.jo vikas ke raste mai aata hai. Usko hamesha ke liye khatam kar do. Chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par.
97,98,"It takes a while, sir."
98,99,"Sir, Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu, Aap jo desh ke liye niswarth bav se kam kar rahe hai, aapko sadaib best p.m ke roop me jana jaega. salute to you sir."
99,100,Our civilization is our identity ..
100,101,Fun is when bring kohinoor back
101,102,Good people get good gifts just like Indians got you sir.
102,103,"Respected sir, you are expecting the whole of India today .. You have shown a new morning to the public .. You also remove the sunshine .."
103,104,Only modi government
104,105,"Modi ji has told himself that he who is capable should not take the subscription, but I agree, please gather courage once and do not take reservation."
105,106,Jai Ho Modi ji
106,107,I want to talk to you sir
107,108,"Sir, what are you? Lotus!!"
108,109,May you be proud of your country
109,110,"Sir, if you have a little time, please do something for the young people of this country too .. Please ask me for more information."
110,111,"Great man, only Modi can do all this."
111,112,"In order to run our country, they say that they are liberating themselves."
112,113,"If you do nothing in the form, 2017 will be achieved"
113,114,"Modi Saab, which country is this ??"
114,115,Jai Hind Manio Principal Monterrey ji did not have army recruitment but I salute the army of the country.
115,116,"Modiji, you salute. Very many crores of crores have been received, but I am the best of luck."
116,117,"Hello Sir, the way you are improving the condition of the country. In the same way, please pay attention to peoplaces like us."
117,118,Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour Package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay
118,119,"The hopes that the people of India had from Modiji, so far as they are here, should make something strong that will remain in the coming time as the time is short."
119,120,"Every har modi ghar ghar modi modi ji, you are in pain in the stomach of the Congressmen;"
120,121,"The whole world remained roaming around, taking the whole India as a dog"
121,122,Modiji country has expressed confidence in you that you live up to our expectations
122,123,"In the Prime Minister, I take an oath that on the day all the leaders of our country stop eating subsidy, I will refund my share subsidy."
123,124,India ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye. Thanu
124,125,Modiji is nice parson abi surwat
125,126,"Modi ji, you increase, the public is with you."
126,127,"P. M. Modi, the lion of India, who wants every country to enter his country at Khobio."
127,128,"Gandhi ji and you have made the name of India not only in the country but also in the entire world by his image, all the best."
128,129,Narendra Modi of India but what will happen to Bihar Modi
129,130,Modi work with you
130,131,Long live Mother India
131,132,"Gandhi Gandhi Gandhi, after all, is this Gandhi the one who fools people and sells the country"
132,133,Jai Hind Jai Bharat Mata ki Jai
133,134,Pujya narendra modiji good evening my dream is a selfie
134,135,"Modi ji, wherever you go, you make everyone your own, good wishes for you."
135,136,Jia Hind Jai Bharat
136,137,Modi ji has kept the country's name big.
137,138,"maharani laxmi bai, tatya tope, subhas chandra bos, ajad, bhagat etc are the true leaders"
138,139,Congress did not even respect Gandhi
139,140,The country needs you to move forward
140,141,(gandhi)he iz a murderer. he killed subhas ch. bose
141,142,Don't forget godse
142,143,Nehru was an austere man
143,144,India will never be able to beat China ..
144,145,"Today, Namo Namo, because of you, the whole world has resonated, only Modi Modi thanks"
145,146,Modi cereal is getting spoiled in the country ?? ?? What are you thinking about it
