,Unnamed: 0,ROWID,TWEETS,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
0,0,1,"Not only this song, this is the color of Modi's heart, he was seen in the whole world one day, only Turkmenistan. Hee hee .. Great Modi","not only this song, this is the color of mode's heart, he was seen in the whole world one day, only turkmenistan. he he .. great mode",3,positive
1,1,2,Love u sir love u soo much urs I'ts beautyful vedio ..,love u sir love u so much us i'to beautiful vein ..,3,positive
2,2,3,Hey Sur ji first defeat the children of our India.,hey sur i first defeat the children of our india.,0,neutral
3,3,4,that! The sound of the song is as beautiful and the melodious voice.,that! the sound of the song is as beautiful and the melodious voice.,3,positive
4,4,5,Greetings went to the beautiful little girls.,greetings went to the beautiful little girls.,2.5,positive
5,5,6,They lata mangekar,theyati mangekar,0,neutral
6,6,7,"Purity of soul and mind is reflected in this daughter's voice, happy daughter.","purity of soul and mind is reflected in this daughter's voice, happy daughter.",3,positive
7,7,8,Jai Hind Jai Hindmeri Bhatan Tuje Salamodi ji salute you,jai hind jai hindmeri bhatan tujhe salmodi zee salute yau,0,neutral
8,8,9,I wish Modiji would have come first from Manmohan Singh ... Today 2015 our country would have reached,i wish modify would have come first from manmohan sigh ... today 2015 our country would have reached,0,neutral
9,9,10,"Atrocities on students in India is not a result, and here it is dust in their eyes.","atrocities on students in india is not a result, and here it is dust in their eyes.",0,neutral
10,10,11,:OOO,:too,0,neutral
11,11,12,"Not only this song, this is the color of Modi's heart, he will one day show it all over the world, it is only Turkmenistan. Hee hee .. Great Modi ji .. Great","not only this song, this is the color of mode's heart, he will one day show it all over the world, it is only turkmenistan. he he .. great mode i .. great",3,positive
12,12,13,Modiji is the issue of the world .. has done enough and has to do even further ..,modify is the issue of the world .. has done enough and has to do even further ..,0,neutral
13,13,14,"Bah Guruji, what style is your world left behind.","bah guruji, what style is your world left behind.",0,neutral
14,14,15,Avsome..It says to leave the impression of India all over the world ..,some..it says to leave the impression of india all over the world ..,-1,negative
15,15,16,Hello Maha Modi Ji !!,hello mah modi zi !!,0,neutral
16,16,17,"Modi ji, you have to pay my last respects, you have won the glory of your India in the whole Universe ..","mode i, you have to pay my last respects, you have won the glory of your india in the whole universe ..",1.333333333,positive
17,17,18,"Good Modi, you will take me with you","good mode, you will take me with you",3,positive
18,18,19,"fantabulous .. we proud of you Modi Ji..Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h .. India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h..asha h ki jald hi unme bhi sudhar ayega.",फन्तबुलोउस्॥ proud of you modi ji. the picture of our country is also looking better. india needs its own resources. there are also some land issues that need to be addressed. i hope that they will improve soon.,2,positive
19,19,20,That country has now gone into the right hands: it looks the same on seeing you,that country has now gone into the right hands: it looks the same on seeing you,0,neutral
20,20,21,It's not Hindi because of its Urdu and Bollywood if you succeed because of Urdu,it's not hind because of its rude and bollywood if you succeed because of rude,0,neutral
21,21,22,"Narendra Modi, what are you doing on Facebook, work please!","narendra mode, what are you doing on facebook, work please!",1,positive
22,22,23,I wish this was so good Bangladesh and Pakistan B Gate,i wish this was so good bangladesh and parisian b gate,2,positive
23,23,24,wah wah Turkes,was was turkey,0,neutral
24,24,25,Masha Allah Good .. this is my Hindi,masha allah good .. this is my hind,3,positive
25,25,26,"Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ??","that&#39;s fun !! indian govt. should host un international hindi song c competition !! the reason is that there is a lot of entertainment, &#39;kyo bhayio aur behno&#39; ??",4,positive
26,26,27,I get angry on those Hindus who oppose Modi ji in their senselessness ..,i get angry on those hindu who oppose mode i in their senselessness ..,-3,negative
27,27,28,No one can stop India from becoming world guru .. Vande Mataram,no one can stop india from becoming world our .. and mataram,-1,negative
28,28,29,"Sir, only you can do this. Great sir","sir, only you can do this. great sir",3,positive
29,29,30,Modi jigood preiminister hia,modi jigood preminister hia,0,neutral
30,30,31,Jai sri ram nama namo,jai sree ram nam namo,0,neutral
31,31,32,People's faith should not be reduced Jai Hind,people's faith should not be reduced jaw hind,1,positive
32,32,33,"Modi ji go ahead, the whole country is with you.","mode i go ahead, the whole country is with you.",0,neutral
33,33,34,It was heard about Raj Kapoor's films that he is liked in sports. He seems to be still intact.,it was heard about ran poor's films that he is liked in sports. he seems to be still intact.,0.6666666667,positive
34,34,35,They are proud of us; Now it seemed that our country has started on a good path from where we can bury our flag in the whole world.,they are proud of us; now it seemed that our country has started on a good path from where we can bury our flag in the whole world.,2.5,positive
35,35,36,"Modi ji, your thinking seems very right, the reason for not being progress is the reason for this that the development of the country is most important.","mode i, your thinking seems very right, the reason for not being progress is the reason for this that the development of the country is most important.",2,positive
36,36,37,"bhrat ko no.1 banne me ab jyada samy nahi lagega ,, kyo ki modi ji jaisa pm bade bhagya se milte hai ,, jo bharat ki rftar ko bdane me koi kasar nahi chodege ,, jai hind ,,","no 1 will be engaged in making a mistake, because modi ji like pamde bade bhagya se bhagya, which will not hurt anyone in changing the speed of bharat, jay hindu,",-0.75,negative
37,37,38,"Children's hearts should be taken on the path of truth, this song should be made mandatory in schools as Vandana.","children's hearts should be taken on the path of truth, this song should be made mandatory in schools as vandalia.",-1,negative
38,38,39,KARTIKEY KUMAR modi hi des ko agÅ bada sakate hai,kartikeya kumari modi can change the country,0,neutral
39,39,40,Hahaha old man is taking care of children,havana old man is taking care of children,2,positive
40,40,41,This has not happened nor will it ever happen. .,this has not happened nor will it ever happen. .,0,neutral
41,41,42,No hindu no muslim we are all Hindustani,no hindu no muslin we are all hindustani,-1,negative
42,42,43,"Modi is my job to kill you, I am a Khalistani","mode is my job to kill you, i am a khalistani",-3,negative
43,43,44,"Modiji, my request is not to give your WhatsApp so that I can see you live.","modify, my request is not to give your whatsapp so that i can see you live.",0,neutral
44,44,45,Modiji ap apne desh ka tirnga sari duni me lahraya hum sabko Garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind,"modiji is proud of his country, his country, his country, his country, his country, his country, his country, his country, his country, his country",2,positive
45,45,46,We have won Bihar and won the election of Ooop. Now we have won from seven seven and we have to win with 65 seven.,we have won bear and won the election of loop. now we have won from seven seven and we have to win with 65 seven.,3.25,positive
46,46,47,If you are like this then Modi ji Hind Jai Vrat,if you are like this then mode i hind jaw rat,2,positive
47,47,48,Bead Biswas to be less loud ..,bead bias to be less loud ..,-1,negative
48,48,49,Nothing beats seeing Modi this way,nothing beats seeing mode this way,0,neutral
49,49,50,Modi ji is the only person who has the courage and passion to take the country forward.,mode i is the only person who has the courage and passion to take the country forward.,2,positive
50,50,51,"I am the great son of India, every Modi","i am the great son of india, every mode",3,positive
51,51,52,"Modi ji is ahead, you need","mode i is ahead, you need",0,neutral
52,52,53,"Jai Ho Bharat Mata and our culture, which foreigners also adopt","jaw ho hart data and our culture, which foreigners also adopt",1,positive
53,53,54,Modi sir app should be the first president. Do something for people. No one will do anything later,mode sir pp should be the first president. do something for people. no one will do anything later,-1,negative
54,54,55,Everyone's master is one.,everyone's master is one.,0,neutral
55,55,56,Modi Sab Pranam App bahut Achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai,"modi is doing a very good job. in this case, we are all with you and i beg you to take care of your health.",2.5,positive
56,56,57,Modi ji is very sick by treating Kuta,mode i is very sick by treating but,-2,negative
57,57,58,Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.,"if you think that you have to go to the subcontinent one day, you will not be able to forget the apple in front of them, but you will not be able to forget the apple in front of them.",-1,negative
58,58,59,Jai hind modi sir,jai hind modi sir,0,neutral
59,59,60,"You are spoiling the money of your country..You have not seen your country roaming..You can walk around the country .. No work will be done by you, Modi.","you are spoiling the money of your country..you have not seen your country roaming..you can walk around the country .. no work will be done by you, mode.",-1,negative
60,60,61,Enough walking. Now the water is going above the head.,enough walking. now the water is going above the head.,0,neutral
61,61,62,Jai Hind Mera Bharat Mera Hindustan,jai hind meer bharat meer hindustan,0,neutral
62,62,63,World Best Pt. Narendra Modi Ji Meera India,world&#39;s best. narendra modi ji meyer india,3,positive
63,63,64,"The whole country is with you, Mr. Modi.","the whole country is with you, mr. mode.",0,neutral
64,64,65,"Sir, you are great, you will only visit Bidesh or take care of the children of the country, how proud we are, people","sir, you are great, you will only visit sides or take care of the children of the country, how proud we are, people",2.333333333,positive
65,65,66,Pt's honor..My honor..Jay Hind,it's honor..my honor..jay hind,0,neutral
66,66,67,Jai Jai Ho India,jai jai ho india,0,neutral
67,67,68,What's the matter,what's the matter,1,positive
68,68,69,Nice back Modi,nice back mode,3,positive
69,69,70,"Come soon and do nothing on Vyapam, not far beyond 45","come soon and do nothing on vyazma, not far beyond 45",0,neutral
70,70,71,Salute u sir app praises a lot,salute u sir pp praises a lot,3,positive
71,71,72,Congrats modi jee,c ongrats modi ja,0,neutral
72,72,73,"Modi ji, do your work, do not listen to anyone's talk, even if two out of 5 children get spoiled, you have to raise them","mode i, do your work, do not listen to anyone's talk, even if two out of 5 children get spoiled, you have to raise them",0,neutral
73,73,74,Sir hum sab digital india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.,"sir, we want to run on the platform of sub digital india.",1,positive
74,74,75,That Modi all,that mode all,0,neutral
75,75,76,grt step 4grt relation..nic job sir,get step part relation..nice job sir,0,neutral
76,76,77,You will not do anything for India,you will not do anything for india,0,neutral
77,77,78,Add your friends,add your friends,0,neutral
78,78,79,Modi ji's name will remain as long as the sun is moon,mode i's name will remain as long as the sun is moon,0,neutral
79,79,80,Unstoppable modi sir,unstoppable mode sir,2,positive
80,80,81,"Do not keep moving too much, help us, think about us when we ask for help","do not keep moving too much, help us, think about us when we ask for help",2,positive
81,81,82,"Modiji, take care of your country, only to become a point of loss","modify, take care of your country, only to become a point of loss",-0.5,negative
82,82,83,"Modi ji is such a level that he will surely change the star of India, what do you say my brothers and sisters","mode i is such a level that he will surely change the star of india, what do you say my brothers and sisters",0,neutral
83,83,84,Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai..Khusi hogi jab aapka updates hindi me,modi ji namashkarsorryto say butt aap jab v kahinf c abookpe kuchshare karte hain to status ko anglish me update karte hai.,0,neutral
84,84,85,Jai Hind Kas. Chauhan Bhinmal Jalore,jai hindus. chauhan bhinmal jalore,0,neutral
85,85,86,Des will be developed only by bringing the world's technology,des will be developed only by bringing the world's technology,0,neutral
86,86,87,"Mr. Parnam, I want to do something for some country too, just want a little bit of your support, if I get it then my country will be easy and very happy.","mr. panama, i want to do something for some country too, just want a little bit of your support, if i get it then my country will be easy and very happy.",1.6,positive
87,87,88,Not enough time,not enough time,0,neutral
88,88,89,"Sir, you have forgotten India and you are wandering on the holiday in the village money, you do not see it in India.","sir, you have forgotten india and you are wandering on the holiday in the village money, you do not see it in india.",-1,negative
89,89,90,Hello Modi Dist,hello mode list,0,neutral
90,90,91,Jaihind of the country,jaihind of the country,0,neutral
91,91,92,There is a larger follower than a devotee.,there is a larger follower than a devotee.,0,neutral
92,92,93,Modi ji should always name our India. Jai Bharat Mata Jai ​​Hind ..,modi zi shoulvd alvsynme oour india. jai bharat mata jai ​​hind,0,neutral
93,93,94,Named after Sir Jay Gurudhev,named after sir jay gurudhev,0,neutral
94,94,95,"We are having fun, we have been having fun ever since India was made a great man in the world .. Best in the world .. Only one ..","we are having fun, we have been having fun ever since india was made a great man in the world .. best in the world .. only one ..",3.5,positive
95,95,96,Modi Ji. Call me to your app. 009655218960,mode i. call me to your pp. 009655218960,0,neutral
96,96,97,Is desh ko jarurat h guidelines ki Varna itani jayada aabadi ka desh world no.1 nahi ho sakta.jo vikas ke raste mai aata hai. Usko hamesha ke liye khatam kar do. Chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par.,"this country needs guidelinas or varna so much that it cannot be the world of abadi. it is on the path of development. get rid of him forever. whether it is a return or a wrong insanity, there is a need for progress.",-0.6666666667,negative
97,97,98,"It takes a while, sir.","it takes a while, sir.",0,neutral
98,98,99,"Sir, Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu, Aap jo desh ke liye niswarth bav se kam kar rahe hai, aapko sadaib best p.m ke roop me jana jaega. salute to you sir.","sir, hello. i am from bihar and i admire you so much, you who are working selflessly for the country, will always be in the roop of your best. salute to you sir.",3,positive
99,99,100,Our civilization is our identity ..,our civilization is our identity ..,0,neutral
100,100,101,Fun is when bring kohinoor back,fun is when bring kohinoor back,4,positive
101,101,102,Good people get good gifts just like Indians got you sir.,good people get good gifts just like indians got you sir.,2.666666667,positive
102,102,103,"Respected sir, you are expecting the whole of India today .. You have shown a new morning to the public .. You also remove the sunshine ..","respected sir, you are expecting the whole of india today .. you have shown a new morning to the public .. you also remove the sunshine ..",2,positive
103,103,104,Only modi government,only mode government,0,neutral
104,104,105,"Modi ji has told himself that he who is capable should not take the subscription, but I agree, please gather courage once and do not take reservation.","mode i has told himself that he who is capable should not take the subscription, but i agree, please gather courage once and do not take reservation.",1.25,positive
105,105,106,Jai Ho Modi ji,jai ho modi zi,0,neutral
106,106,107,I want to talk to you sir,i want to talk to you sir,1,positive
107,107,108,"Sir, what are you? Lotus!!","sir, what are you? lots!!",0,neutral
108,108,109,May you be proud of your country,may you be proud of your country,2,positive
109,109,110,"Sir, if you have a little time, please do something for the young people of this country too .. Please ask me for more information.","sir, if you have a little time, please do something for the young people of this country too .. please ask me for more information.",1,positive
110,110,111,"Great man, only Modi can do all this.","great man, only mode can do all this.",3,positive
111,111,112,"In order to run our country, they say that they are liberating themselves.","in order to run our country, they say that they are liberating themselves.",0,neutral
112,112,113,"If you do nothing in the form, 2017 will be achieved","if you do nothing in the form, 2017 will be achieved",0,neutral
113,113,114,"Modi Saab, which country is this ??","mode scab, which country is this ??",0,neutral
