,TWEET,SCORE,SENTIMENT_LABEL
0,pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan,0,negative
1,madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,0,negative
2,manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,2,positive
3,krishna jcb full trend chal rahi aa nan,2,positive
4,loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,2,positive
5,bhosdik tum pechvad ki tatti hi rahog bc nan,0,negative
6,love u bhaijan ... ?? father + son bharat iambharat bharatthiseid best pic entir promot mashallah,2,positive
7,tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,0,negative
8,nolo weni anker gae weekend ?????????? nan,2,positive
9,aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,0,negative
10,omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0,negative
11,ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,0,negative
12,saf babi sorri onlin hope sleep well though love nan,2,positive
13,real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan,0,negative
14,mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,0,negative
15,kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,0,negative
16,abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,0,negative
17,well chara chor ke chele news year old nan,0,negative
18,twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,2,positive
19,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,0,negative
20,mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,0,negative
21,dev da tmr new movi song ami tmk valobasi realli love ??? lot ???????? nan,1,neutral
22,abe bc kya le jayeng yeh toh batah abhi ?? pakvwi babaji ka thullu ??,2,positive
23,hope see babi weekend high doubt ?? ugh nan,1,neutral
24,teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,0,negative
25,isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,1,neutral
26,jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi,0,negative
27,rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,0,negative
28,hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,0,negative
29,io sale today nxttakeoverxxv entranc mask qualiti nice ???? even back side come soon nan,2,positive
30,ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,1,neutral
31,gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,1,neutral
32,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,1,neutral
33,ahmad884 1971 ?????? lulli hoti nahi khadi baten karalo badi badi,1,neutral
34,dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,1,neutral
35,beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h,0,negative
36,one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein,2,positive
37,mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,0,negative
38,jai bheem great news bahujan kumbkarnaa becoz happen kick st,1,neutral
39,u love one person gave fuck u dead - ) nan,1,neutral
40,zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,2,positive
41,color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,2,positive
42,rohit bhai big fan want meet nan,2,positive
43,lanat bhejta hn tun pe tmare harami leader niazi pe nan,0,negative
44,dont slay ?????????? inta serious nahi leneka segment ko segment pure fun 80 % nonsens cast make sens nan,0,negative
45,kutta bhonkn lga bhaiyo firs sale gale patt,0,negative
46,world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,0,negative
