,Unnamed: 0,TWEET,SCORE,SENTIMENT_LABEL,ENGLISH_TRANSLATION,CALC_SCORE,CALC_SENTIMENT_LABEL
0,0,pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan,0,negative,parisian parisian israel house tok taslem no keert palestine keht o cc sub palestine nun,-1,negative
1,1,madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,0,negative,full mature hindu madarchod visible mullo li die they lass money mag li,-0.5,negative
2,2,manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,2,positive,manya pradhan minister sir mr. narendra prime minister to become hardik more all delhi,0,neutral
3,3,krishna jcb full trend chal rahi aa nan,2,positive,krishna job full trend let&#39;s go come nun,0,neutral
4,4,loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,2,positive,vote without loksabh janta only give mp bjp,0,neutral
5,5,bhosdik tum pechvad ki tatti hi rahog bc nan,0,negative,bc earthy pechwad that&#39;s it रहोग् nun,0,neutral
6,6,love u bhaijan ... ?? father + son bharat iambharat bharatthiseid best pic entir promot mashallah,2,positive,love father best pick enter भैजन् सोन् bharat इअम्भरत् भरत्थिसेइद् promotions mashallah,3,positive
7,7,tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,0,negative,pass abh dm isla google dm banay her your thirteen,0,neutral
8,8,nolo weni anker gae weekend ?????????? nan,2,positive,novo weekend veni anker went nun,0,neutral
9,9,aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,0,negative,ऐमिम् be engaged mullo you कुरन् fad ग्यन् कयल् the world allah happy,0.5,positive
10,10,omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0,negative,punjab omer muhammad pakhtons haqoq jung haqoq jung pucca,0,neutral
11,11,ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,0,negative,sale sage ink country no. can traitor सथ् kadi kadi कनुन्,0,neutral
12,12,saf babi sorri onlin hope sleep well though love nan,2,positive,hope sleep well though love white bubi sorri online nun,2.5,positive
13,13,real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan,0,negative,real life did already snake internet m reason chor i to steal the good solmon nun,0,neutral
14,14,mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,0,negative,cousin parisian दवर्त्वेएत् look some b care die live बय्घय्रत् इन्सन्तुम् ali the reason harmi,-0.5,negative
15,15,kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,0,negative,media channel ink case shame type media channel some look up type c रिमिन् nun,-2,negative
16,16,abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,0,negative,my back gram stain sigh abe nhi मलुम् ammi mt pudding rate die अदिवसिय्,-2.5,negative
17,17,well chara chor ke chele news year old nan,0,negative,well news year old variable chor the disciples nun,0,neutral
18,18,twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,2,positive,twitter band the height daily mookin चुतियाप् second per to add do do,0,neutral
19,19,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,0,negative,oh soldier read american god thank remind everyone clusterfuck huh hardy her her nun,1.666666667,positive
20,20,mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,0,negative,got video vital mp kamalnath how body your शन्तिदुत् दुकन्दर्,0,neutral
21,21,dev da tmr new movi song ami tmk valobasi realli love ??? lot ???????? nan,1,neutral,de new move song love lot the त्म्र् ami tmk valobasi really nun,3,positive
22,22,abe bc kya le jayeng yeh toh batah abhi ?? pakvwi babaji ka thullu ??,2,positive,bc abe take jayeng tell me the westernmost babji thullu,0,neutral
23,23,hope see babi weekend high doubt ?? ugh nan,1,neutral,hope see weekend high doubt ugh bubi nun,0.5,positive
24,24,teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,0,negative,beth tax sakinak you the wolf anxiety aaj pehle भद्व् you milk,-2,negative
25,25,isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,1,neutral,bus dogma paul pm zammen selection akhilesh taref look,0,neutral
26,26,jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi,0,negative,she ram she krishna barring jai jai jai sacrifice jai bholenath to speak be engaged रुकेङ्,0,neutral
27,27,rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,0,negative,bass dart mark rao hindi your sekh पौग् said hindi,0,neutral
28,28,hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,0,negative,corrupt always you khot khor गन्ज् only what top leah they lant that patwari nun,2,positive
29,29,io sale today nxttakeoverxxv entranc mask qualiti nice ???? even back side come soon nan,2,positive,sale today nxttakeoverxxv entrance mask nice even back side come soon eo quality nun,3,positive
30,30,ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,1,neutral,language youth critic च् pakage istem you nooni it&#39;s over poochhay aven a duty sahb nun,-2,negative
31,31,gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,1,neutral,gulwish news defend cairn कोशेश् care the way,2,positive
32,32,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,1,neutral,noon boycott world cup remove attack arrest murali c hey till nesmani christmurthy nun,-1.666666667,negative
