,Unnamed: 0,TID,TWEET,SCORE,SENTIMENT_LABEL,ENGLISH_TRANSLATION,CALC_SCORE,CALC_SENTIMENT_LABEL
0,0,3,pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan,0,negative,"pakistan is not a part of israel, it is not a palestinian state, it is not a palestinian state, it is not a palestinian state.",0,neutral
1,1,41,madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,0,negative,"madarchod mulla was not seen as mathur, when mulla insisted on hinduism",0,neutral
2,2,48,manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,2,positive,hon&#39;ble prime minister shri narendra modi will do his best to become the prime minister.,3,positive
3,3,64,krishna jcb full trend chal rahi aa nan,2,positive,krishna is not running full circle,0,neutral
4,4,66,loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,2,positive,the lok sabha was only voting for modi and not for any bjp.,0,neutral
5,5,68,bhosdik tum pechvad ki tatti hi rahog bc nan,0,negative,bhosdik tumpechvad ki tatti hi rahog b nan,0,neutral
6,6,90,love u bhaijan ... ?? father + son bharat iambharat bharatthiseid best pic entir promot mashallah,2,positive,lowe u bhaijaan. ?? fther + sona bharat iambharat bharatthiside bastp cnter promoter,0,neutral
7,7,99,tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,0,negative,"your choice is not done, but your goal has been made for isla goggle",0,neutral
8,8,101,nolo weni anker gae weekend ?????????? nan,2,positive,nolo veni anker gaye weekend ?????????? nun,0,neutral
9,9,104,aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,0,negative,"keep up the good content, you idiots.",3,positive
10,10,106,omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0,negative,"om muhammanti pakhtoan&#39;s title is not born, punjab&#39;s title",0,neutral
11,11,146,ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,0,negative,"these people can never be close to the country, they are traitors.",0,neutral
12,12,150,saf babi sorri onlin hope sleep well though love nan,2,positive,say baby sorry online hope sleep well though love nan,1.333333333,positive
13,13,157,real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan,0,negative,reallife has not stolen any logos from the internet. &#39;,-2,negative
14,14,167,mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,0,negative,mohsin davartveet daikho aur kuchh ker marjo baighayrat insantum aur ali wazir harmi ho pakistan,0,neutral
15,15,174,kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,0,negative,the kuchmedia channels show that there is no such thing as a reminder of the above media channels.,-1,negative
16,16,175,abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,0,negative,abe mc nhi malum ammi mat chud bdk planet stan ko dar singh ne die adivasi,-3,negative
17,17,182,well chara chor ke chele news year old nan,0,negative,the disciples of the wheelchair thief are never old,0,neutral
18,18,216,twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,2,positive,it would not be possible for you to do this every day without stopping.,-1,negative
19,19,252,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,0,negative,oh hata soldier read american god hard had had thank remind everyone clusterfuck nan,0.6666666667,positive
20,20,266,mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,0,negative,mpgovt kamalnath ki hwese akvideo rare jism apk shantidut bhai ek dukandar,0,neutral
